id,lat,lon,city,iata,size
1121,41.77131167976406,-103.7109375,Scottsbluff,BFF,4
1213,47.5172006978394,-94.921875,Bemidji,BJI,4
1254,36.03133177633188,-114.9609375,"Boulder City, Las Vegas",BLD,4
1356,29.84064389983442,-93.8671875,Beaumont / Port Arthur,BPT,4
1378,46.316584181822186,-94.21875,Brainerd,BRD,4
1625,37.718590325588146,-113.203125,Cedar City,CDC,4
1638,42.811521745097885,-103.0078125,Chadron,CDR,4
1690,37.160316546736766,-89.6484375,Cape Girardeau,CGI,4
1722,61.606396371386275,-159.2578125,Chuathbaluk,CHU,4
1735,66.65297740055279,-143.7890625,Chalkyitsik,CIK,4
1764,61.93895042666062,-158.203125,Crooked Creek,CKD,4
1778,64.01449619484471,-142.03125,Chicken,CKX,4
1790,30.44867367928756,-96.328125,College Station,CLL,4
1808,18.646245142670605,-91.7578125,Ciudad del Carmen,CME,4
1825,47.27922900257082,-88.59375,Houghton,CMX,4
1855,44.590467181308846,-108.984375,Cody,COD,4
1891,42.811521745097885,-106.5234375,Casper,CPR,4
2043,60.064840460104506,-164.1796875,Chefornak,CYF,4
2051,41.244772343082076,-104.765625,Cheyenne,CYS,4
2067,62.103882522897855,-142.03125,Chisana,CZN,4
2102,42.293564192170074,-90.703125,Dubuque,DBQ,4
2114,37.718590325588146,-99.84375,Dodge City,DDC,4
2123,39.90973623453718,-88.9453125,Decatur,DEC,4
2165,46.8000594467873,-102.65625,Dickinson,DIK,4
2197,58.99531118795094,-158.5546875,Dillingham,DLG,4
2309,53.9560855309879,-166.640625,Unalaska,DUT,4
2346,40.713955826286046,-99.140625,Kearney,EAR,4
2347,47.5172006978394,-120.234375,Wenatchee,EAT,4
2348,44.84029065139799,-91.40625,Eau Claire,EAU,4
2379,60.239811169998916,-162.0703125,Eek,EEK,4
2413,40.713955826286046,-115.6640625,Elko,EKO,4
2437,58.26328705248602,-136.40625,Elfin Cove,ELV,4
2445,62.75472592723179,-164.53125,Emmonak,EMK,4
2454,60.586967342258674,-151.171875,Kenai,ENA,4
2729,36.87962060502676,-108.28125,Farmington,FMN,4
2744,42.55308028895581,-94.21875,Fort Dodge,FOD,4
2774,16.97274101999902,-90,Flores,FRS,4
2784,35.4606699514953,-94.21875,Fort Smith,FSM,4
2862,44.33956524809714,-105.46875,Gillette,GCC,4
2864,37.996162679728116,-100.8984375,Garden City,GCK,4
2866,36.03133177633188,-112.1484375,Grand Canyon,GCN,4
2882,47.04018214480665,-104.765625,Glendive,GDV,4
2917,32.249974455863295,-94.5703125,Longview,GGG,4
2923,48.2246726495652,-106.5234375,Glasgow,GGW,4
2965,33.43144133557529,-91.0546875,Greenville,GLH,4
3005,59.175928249271365,-161.71875,Goodnews Bay,GNU,4
3048,31.05293398570515,-97.734375,Fort Hood / Killeen,GRK,4
3072,58.44773280389082,-135.703125,Gustavus,GST,4
3227,62.267922629417576,-159.609375,Holy Cross,HCR,4
3293,47.27922900257082,-92.8125,Hibbing,HIB,4
3362,58.07787626787517,-135.3515625,Hoonah,HNH,4
3366,20.632784250388017,-156.09375,Hana,HNM,4
3473,48.45835188280866,-109.6875,Havre,HVR,4
3486,55.17886766328199,-132.890625,Hydaburg,HYG,4
3490,38.8225909761771,-99.140625,Hays,HYS,4
3623,48.45835188280866,-93.515625,International Falls,INL,4
3666,40.17887331434696,-92.4609375,Kirksville,IRK,4
3819,20.961439614096836,-156.796875,Kapalua,JHM,4
3955,64.32087157990323,-158.90625,Kaltag,KAL,4
4081,62.91523303947613,-159.9609375,Grayling,KGX,4
4138,59.888936896765834,-162.7734375,Kongiganak,KKH,4
4139,60.930432202923335,-161.3671875,Akiachak,KKI,4
4165,57.51582286553883,-153.984375,Larsen Bay,KLN,4
4240,63.07486569058663,-163.4765625,Kotlik,KOT,4
4257,59.888936896765834,-164.1796875,Kipnuk,KPN,4
4341,60.930432202923335,-162.421875,Kasigluk,KUK,4
4368,59.888936896765834,-163.125,Kwigillingok,KWK,4
4371,59.71209717332292,-161.71875,Quinhagak,KWN,4
4376,60.759159502269895,-161.3671875,Kwethluk,KWT,4
4390,57.51582286553883,-154.3359375,Karluk,KYK,4
4424,41.244772343082076,-105.8203125,Laramie,LAR,4
4428,34.59704151614417,-98.4375,Lawton,LAW,4
4435,41.244772343082076,-100.546875,North Platte,LBF,4
4441,37.160316546736766,-100.8984375,Liberal,LBL,4
4581,47.5172006978394,-122.34375,Seattle,LKE,4
4608,63.86003589539531,-152.2265625,Lake Minchumina,LMA,4
4705,32.249974455863295,-106.875,Las Cruces,LRU,4
4710,43.834526782236836,-91.40625,La Crosse,LSE,4
4884,40.17887331434696,-100.546875,McCook,MCK,4
4896,43.06888777416962,-93.1640625,Mason City,MCW,4
4932,32.249974455863295,-88.59375,Meridian,MEI,4
5261,55.17886766328199,-131.484375,Metlakatla,MTM,4
5320,37.718590325588146,-88.9453125,Marion,MWA,4
5431,60.064840460104506,-148.0078125,Chenega,NCN,4
5489,60.413852350464914,-164.53125,Nightmute,NME,4
5539,60.930432202923335,-162.421875,Nunapitchuk,NUP,4
5598,41.244772343082076,-112.1484375,Ogden,OGD,4
5624,47.98992166741418,-105.46875,Wolf Point,OLF,4
5625,57.13623931917742,-153.28125,Old Harbor,OLH,4
5654,60.586967342258674,-165.234375,Toksook Bay,OOK,4
5721,37.160316546736766,-88.9453125,Paducah,PAH,4
5756,28.61345942400442,-100.546875,Piedras Negras,PDS,4
5757,45.58328975600631,-118.828125,Pendleton,PDT,4
5781,59.355596110016315,-151.875,Port Graham,PGM,4
5802,31.353636941500994,-89.296875,Hattiesburg / Laurel,PIB,4
5805,42.811521745097885,-112.5,Pocatello,PIH,4
5810,44.33956524809714,-100.1953125,Pierre,PIR,4
5820,60.759159502269895,-161.71875,Napaskiak,PKA,4
5951,58.99531118795094,-161.71875,Platinum,PTU,4
5956,38.27268853598096,-104.4140625,Pueblo,PUB,4
6073,61.77312286453147,-157.5,Red Devil,RDV,4
6081,14.6048471550539,-91.7578125,Retalhuleu,RER,4
6107,43.06888777416962,-108.6328125,Riverton,RIW,4
